scene,bmp_type,scan_mode,block_size,block_row,block_col,values_count,payload_size_bytes,block_compression_performance_percent
external_camera_512,bw_1bit,row_major,64,0,0,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,0,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,0,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,0,1,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,1,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,1,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,0,2,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,2,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,2,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,0,3,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,3,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,3,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,0,4,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,4,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,4,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,0,5,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,5,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,5,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,0,6,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,6,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,6,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,0,7,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,0,7,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,0,7,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,1,0,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,1,0,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,1,0,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,1,1,4096,32,99.22
external_camera_512,bw_1bit,col_major,64,1,1,4096,156,96.19
external_camera_512,bw_1bit,zigzag_64,64,1,1,4096,72,98.24
external_camera_512,bw_1bit,row_major,64,1,2,4096,450,89.01
external_camera_512,bw_1bit,col_major,64,1,2,4096,512,87.5
external_camera_512,bw_1bit,zigzag_64,64,1,2,4096,161,96.07
external_camera_512,bw_1bit,row_major,64,1,3,4096,249,93.92
external_camera_512,bw_1bit,col_major,64,1,3,4096,523,87.23
