scene,block_size,block_row,block_col,row_major_avg_perf_percent,col_major_avg_perf_percent,zigzag_64_avg_perf_percent,winner_scan_mode,winner_gap_percent_point
external_camera_512,64,0,0,54.78,53.16,52.77,row_major,1.62
external_camera_512,64,0,1,56.82,53.37,52.81,row_major,3.45
external_camera_512,64,0,2,57.51,54.16,55.06,row_major,2.45
external_camera_512,64,0,3,60.59,57.88,57.57,row_major,2.7
external_camera_512,64,0,4,60.01,58.58,58.09,row_major,1.43
external_camera_512,64,0,5,58.07,56.97,56.36,row_major,1.1
external_camera_512,64,0,6,54.14,50.99,51.95,row_major,2.19
external_camera_512,64,0,7,53.65,49.66,51.9,row_major,1.74
external_camera_512,64,1,0,57.92,54.83,56.05,row_major,1.87
external_camera_512,64,1,1,55.83,50.87,53.14,row_major,2.69
external_camera_512,64,1,2,35.33,32.91,37.11,zigzag_64,1.78
external_camera_512,64,1,3,31.46,26.7,28.22,row_major,3.24
external_camera_512,64,1,4,44.73,43.35,42.24,row_major,1.37
external_camera_512,64,1,5,53.09,50.0,51.92,row_major,1.17
external_camera_512,64,1,6,51.72,51.03,51.19,row_major,0.52
external_camera_512,64,1,7,57.41,54.7,55.85,row_major,1.56
external_camera_512,64,2,0,49.97,46.52,49.02,row_major,0.95
external_camera_512,64,2,1,45.08,43.39,45.6,zigzag_64,0.52
external_camera_512,64,2,2,26.66,33.55,23.01,col_major,6.89
external_camera_512,64,2,3,24.74,22.84,17.32,row_major,1.9
external_camera_512,64,2,4,27.0,20.42,18.89,row_major,6.59
external_camera_512,64,2,5,45.83,42.26,42.21,row_major,3.57
external_camera_512,64,2,6,48.56,52.48,46.27,col_major,3.92
external_camera_512,64,2,7,43.36,41.49,39.01,row_major,1.87
external_camera_512,64,3,0,33.28,33.58,27.15,col_major,0.3
external_camera_512,64,3,1,52.97,54.05,50.08,col_major,1.08
external_camera_512,64,3,2,37.62,40.17,36.6,col_major,2.55
external_camera_512,64,3,3,35.59,31.76,31.54,row_major,3.83
external_camera_512,64,3,4,23.52,29.47,20.9,col_major,5.95
external_camera_512,64,3,5,24.47,21.34,18.24,row_major,3.14
external_camera_512,64,3,6,25.57,16.1,10.19,row_major,9.47
external_camera_512,64,3,7,35.01,25.33,24.29,row_major,9.67
external_camera_512,64,4,0,53.6,55.46,53.68,col_major,1.78
external_camera_512,64,4,1,53.76,52.03,52.3,row_major,1.46
external_camera_512,64,4,2,50.52,48.88,49.51,row_major,1.01
external_camera_512,64,4,3,39.7,39.96,40.03,zigzag_64,0.07
external_camera_512,64,4,4,24.24,31.14,24.97,col_major,6.18
external_camera_512,64,4,5,31.6,27.18,25.64,row_major,4.42
external_camera_512,64,4,6,34.14,29.31,27.38,row_major,4.83
external_camera_512,64,4,7,35.45,28.99,29.01,row_major,6.44
external_camera_512,64,5,0,53.51,53.95,53.51,col_major,0.43
external_camera_512,64,5,1,57.55,55.9,57.45,row_major,0.1
external_camera_512,64,5,2,33.12,33.91,39.03,zigzag_64,5.12
external_camera_512,64,5,3,24.78,23.32,24.3,row_major,0.48
external_camera_512,64,5,4,12.18,20.46,12.08,col_major,8.28
external_camera_512,64,5,5,21.99,22.95,21.64,col_major,0.96
external_camera_512,64,5,6,22.55,21.64,22.77,zigzag_64,0.22
external_camera_512,64,5,7,23.78,22.29,21.55,row_major,1.49
external_camera_512,64,6,0,58.26,58.22,59.03,zigzag_64,0.77
external_camera_512,64,6,1,45.88,45.39,44.24,row_major,0.5
external_camera_512,64,6,2,17.45,21.59,18.87,col_major,2.72
external_camera_512,64,6,3,15.94,16.06,16.68,zigzag_64,0.63
external_camera_512,64,6,4,5.72,21.8,7.11,col_major,14.69
external_camera_512,64,6,5,11.43,11.75,8.76,col_major,0.32
external_camera_512,64,6,6,6.77,5.35,4.47,row_major,1.42
external_camera_512,64,6,7,6.16,3.43,2.83,row_major,2.73
external_camera_512,64,7,0,60.07,59.71,60.67,zigzag_64,0.59
external_camera_512,64,7,1,28.92,36.2,29.42,col_major,6.78
external_camera_512,64,7,2,18.3,23.69,17.34,col_major,5.39
external_camera_512,64,7,3,9.44,13.18,9.97,col_major,3.21
external_camera_512,64,7,4,8.73,10.6,6.29,col_major,1.87
external_camera_512,64,7,5,9.84,8.49,7.38,row_major,1.34
external_camera_512,64,7,6,3.64,4.14,0.69,col_major,0.5
external_camera_512,64,7,7,-0.46,-0.37,-2.37,col_major,0.1
